Time,LDR1,LDR2,LDR3,LDR4,Horizontal_Angle,Vertical_Angle,Voltage,Current
01/01/2024 8:00,607,132,578,315,31,99,1.921689683,1.27387691
01/01/2024 8:30,577,421,248,255,139,84,6.192922061,0.883383241
01/01/2024 9:00,926,354,206,175,75,93,9.747062694,0.601160066
01/01/2024 9:30,244,19,889,762,156,17,6.113038975,1.617305831
01/01/2024 10:00,387,490,199,83,61,56,1.976136384,0.555793311
01/01/2024 10:30,70,485,849,622,141,28,6.115379863,1.624023442
01/01/2024 11:00,669,283,524,614,0,136,1.433039109,0.656744317
01/01/2024 11:30,923,498,350,342,58,0,5.231906511,1.01317641
01/01/2024 12:00,148,198,685,658,133,75,5.551114671,0.783483344
01/01/2024 12:30,335,22,307,174,98,1,2.719282556,1.646938151
01/01/2024 13:00,746,812,299,103,63,62,3.618174146,0.005236919
01/01/2024 13:30,312,211,956,600,176,33,6.205469743,1.199126287
01/01/2024 14:00,9,750,241,4,7,147,0.678045686,1.220731887
01/01/2024 14:30,589,510,774,970,61,133,11.05484855,1.506265474
01/01/2024 15:00,39,16,355,857,94,149,7.229670233,0.4354653
01/01/2024 15:30,158,467,93,693,58,89,1.652497273,1.323475245
01/01/2024 16:00,470,466,759,35,4,103,10.80344129,0.30219835
01/01/2024 16:30,921,1015,922,472,91,93,10.62280749,0.601682822
01/01/2024 17:00,856,70,664,887,173,117,5.383616366,1.900830558
01/01/2024 17:30,593,97,993,525,102,1,1.602706191,1.873876018
01/01/2024 18:00,915,221,421,324,50,73,1.248109251,1.199083825
01/01/2024 18:30,680,474,708,836,102,173,6.542891878,0.951573921
01/01/2024 19:00,352,649,274,903,72,174,6.532993354,1.750470231
01/01/2024 19:30,11,477,897,6,23,39,11.02014554,0.804870852
01/01/2024 20:00,386,1022,933,134,71,44,1.498168867,1.983353384
01/01/2024 20:30,406,287,570,949,134,12,1.536573866,0.1304568
01/01/2024 21:00,411,56,699,264,156,150,7.06120397,1.607621843
01/01/2024 21:30,715,527,255,213,45,173,2.922908499,1.794942636
01/01/2024 22:00,842,511,751,56,172,112,1.081807103,1.210304769
01/01/2024 22:30,24,787,1015,885,89,16,2.526967099,0.706849362
01/01/2024 23:00,860,766,726,568,18,40,3.0620133,1.621989461
01/01/2024 23:30,397,742,945,544,172,78,1.305044554,1.246183283
02/01/2024 0:00,65,806,615,297,62,43,3.64317776,0.184893926
02/01/2024 0:30,205,448,149,68,68,112,4.41144821,1.746469369
02/01/2024 1:00,798,585,119,712,62,41,2.120026095,0.717496873
02/01/2024 1:30,595,684,608,27,108,144,10.64357176,0.661830144
02/01/2024 2:00,609,808,37,617,179,91,0.198481095,1.448804924
02/01/2024 2:30,492,146,20,114,168,100,7.735822251,1.676656514
02/01/2024 3:00,258,673,217,458,135,179,8.51938937,0.205919155
02/01/2024 3:30,803,544,995,231,24,85,1.335359356,0.297084361
02/01/2024 4:00,57,205,952,241,174,161,4.89269338,0.447162784
02/01/2024 4:30,781,555,644,895,137,169,3.281357429,0.453371878
02/01/2024 5:00,464,618,925,695,99,84,7.119532931,1.322751019
02/01/2024 5:30,866,430,271,107,69,36,10.29793277,1.980388771
