Time,LDR1,LDR2,LDR3,LDR4,Horizontal_Angle(Azimuth),Vertical_Angle(Elevation),Voltage,Current
01/01/2024 8:00,607,132,578,315,31,99,1.92,1.27
01/01/2024 8:30,577,421,248,255,139,84,6.19,0.88
01/01/2024 9:00,926,354,206,175,75,93,9.75,0.60
01/01/2024 9:30,244,19,889,762,156,17,6.11,1.62
01/01/2024 10:00,387,490,199,83,61,56,1.98,0.56
01/01/2024 10:30,70,485,849,622,141,28,6.12,1.62
01/01/2024 11:00,669,283,524,614,0,136,1.43,0.66
01/01/2024 11:30,923,498,350,342,58,0,5.23,1.01
01/01/2024 12:00,148,198,685,658,133,75,5.55,0.78
01/01/2024 12:30,335,22,307,174,98,1,2.72,1.65
01/01/2024 13:00,746,812,299,103,63,62,3.62,0.01
01/01/2024 13:30,312,211,956,600,176,33,6.21,1.20
01/01/2024 14:00,9,750,241,4,7,147,0.68,1.22
01/01/2024 14:30,589,510,774,970,61,133,11.05,1.51
01/01/2024 15:00,39,16,355,857,94,149,7.23,0.44
01/01/2024 15:30,158,467,93,693,58,89,1.65,1.32
01/01/2024 16:00,470,466,759,35,4,103,10.80,0.30
01/01/2024 16:30,921,1015,922,472,91,93,10.62,0.60
01/01/2024 17:00,856,70,664,887,173,117,5.38,1.90
01/01/2024 17:30,593,97,993,525,102,1,1.60,1.87
01/01/2024 18:00,915,221,421,324,50,73,1.25,1.20
01/01/2024 18:30,680,474,708,836,102,173,6.54,0.95
01/01/2024 19:00,352,649,274,903,72,174,6.53,1.75
01/01/2024 19:30,11,477,897,6,23,39,11.02,0.80
01/01/2024 20:00,386,1022,933,134,71,44,1.50,1.98
01/01/2024 20:30,406,287,570,949,134,12,1.54,0.13
01/01/2024 21:00,411,56,699,264,156,150,7.06,1.61
01/01/2024 21:30,715,527,255,213,45,173,2.92,1.79
01/01/2024 22:00,842,511,751,56,172,112,1.08,1.21
01/01/2024 22:30,24,787,1015,885,89,16,2.53,0.71
01/01/2024 23:00,860,766,726,568,18,40,3.06,1.62
01/01/2024 23:30,397,742,945,544,172,78,1.31,1.25
02/01/2024 0:00,65,806,615,297,62,43,3.64,0.18
02/01/2024 0:30,205,448,149,68,68,112,4.41,1.75
02/01/2024 1:00,798,585,119,712,62,41,2.12,0.72
02/01/2024 1:30,595,684,608,27,108,144,10.64,0.66
02/01/2024 2:00,609,808,37,617,179,91,0.20,1.45
02/01/2024 2:30,492,146,20,114,168,100,7.74,1.68
02/01/2024 3:00,258,673,217,458,135,179,8.52,0.21
02/01/2024 3:30,803,544,995,231,24,85,1.34,0.30
02/01/2024 4:00,57,205,952,241,174,161,4.89,0.45
02/01/2024 4:30,781,555,644,895,137,169,3.28,0.45
02/01/2024 5:00,464,618,925,695,99,84,7.12,1.32
02/01/2024 5:30,866,430,271,107,69,36,10.30,1.98
02/01/2024 6:00,499,80,98,482,174,120,1.68,1.78
02/01/2024 6:30,259,587,200,938,121,135,3.37,0.98
02/01/2024 7:00,232,325,750,526,175,116,6.28,0.33
02/01/2024 7:30,1013,536,472,611,113,62,1.97,0.23
02/01/2024 8:00,221,243,71,366,80,134,4.52,1.98
02/01/2024 8:30,275,124,297,992,105,68,9.08,1.85
02/01/2024 9:00,21,381,588,485,17,148,2.54,0.07
02/01/2024 9:30,419,379,638,100,145,101,2.78,1.36
02/01/2024 10:00,778,105,849,757,106,14,7.19,1.42
02/01/2024 10:30,181,427,499,769,83,131,2.65,1.77
02/01/2024 11:00,656,733,814,77,120,57,9.53,1.49
02/01/2024 11:30,330,1018,795,882,119,157,9.27,0.22
02/01/2024 12:00,1001,463,542,787,172,79,1.63,1.28
02/01/2024 12:30,583,288,869,380,76,159,8.28,0.23
02/01/2024 13:00,493,191,668,29,91,59,5.73,1.61
02/01/2024 13:30,172,155,96,327,47,161,7.11,1.90
02/01/2024 14:00,181,234,264,900,110,41,9.03,0.45
02/01/2024 14:30,432,71,591,888,131,7,6.27,1.16
02/01/2024 15:00,932,582,845,235,166,47,9.71,0.22
02/01/2024 15:30,683,248,320,156,175,175,1.44,1.30
02/01/2024 16:00,284,801,15,448,120,62,8.28,0.85
02/01/2024 16:30,32,443,540,894,115,10,0.68,1.30
02/01/2024 17:00,618,378,880,136,117,16,3.42,0.53
02/01/2024 17:30,100,183,552,933,92,20,4.79,1.64
02/01/2024 18:00,362,54,98,615,92,157,2.53,0.49
02/01/2024 18:30,827,474,181,668,20,88,9.27,1.40
02/01/2024 19:00,228,499,895,316,57,69,11.17,0.30
02/01/2024 19:30,1000,37,352,796,87,104,6.79,1.17
02/01/2024 20:00,323,1021,631,427,12,76,2.14,0.28
02/01/2024 20:30,332,422,407,290,53,165,4.16,0.11
02/01/2024 21:00,120,290,106,355,0,168,5.05,1.64
02/01/2024 21:30,11,204,609,592,6,40,6.83,1.10
02/01/2024 22:00,790,308,316,284,13,104,11.48,1.20
02/01/2024 22:30,473,717,534,1017,144,180,3.30,0.72
02/01/2024 23:00,142,63,378,852,157,130,2.84,0.42
02/01/2024 23:30,693,186,1000,356,90,70,1.84,0.98
03/01/2024 0:00,718,471,196,210,70,0,1.74,1.20
03/01/2024 0:30,795,658,888,891,98,16,11.30,0.54
03/01/2024 1:00,623,409,430,501,147,109,0.36,1.74
03/01/2024 1:30,505,829,810,30,99,127,0.13,1.53
03/01/2024 2:00,477,174,242,826,168,10,3.55,1.36
03/01/2024 2:30,780,987,985,561,156,85,2.93,1.19
03/01/2024 3:00,586,65,313,378,128,134,6.53,1.64
03/01/2024 3:30,178,28,89,540,35,47,9.74,0.25
03/01/2024 4:00,535,705,622,659,18,106,10.46,0.33
03/01/2024 4:30,851,628,842,991,12,24,5.50,1.76
03/01/2024 5:00,270,532,1002,650,165,54,3.22,1.51
03/01/2024 5:30,644,707,474,712,79,144,10.22,1.06
03/01/2024 6:00,355,83,678,887,90,87,2.84,0.89
03/01/2024 6:30,305,887,646,932,84,41,5.94,1.08
03/01/2024 7:00,821,279,881,40,169,130,3.69,1.02
03/01/2024 7:30,133,126,465,331,85,78,11.95,1.00
03/01/2024 8:00,783,699,996,48,33,5,6.36,1.93
03/01/2024 8:30,786,179,284,350,102,15,11.42,1.71
03/01/2024 9:00,899,135,539,571,1,167,9.23,0.67
03/01/2024 9:30,122,625,263,94,43,51,0.14,1.32
03/01/2024 10:00,597,329,438,345,153,105,2.97,1.96
03/01/2024 10:30,797,722,293,14,3,26,0.54,0.05
03/01/2024 11:00,544,489,935,956,90,98,0.51,1.73
03/01/2024 11:30,562,363,946,118,13,107,11.08,0.33
03/01/2024 12:00,256,979,109,168,58,125,8.41,1.53
03/01/2024 12:30,694,854,986,738,144,156,4.46,0.73
03/01/2024 13:00,330,659,987,763,102,132,10.42,0.40
03/01/2024 13:30,674,1015,975,408,65,20,10.35,1.77
03/01/2024 14:00,792,413,485,624,111,68,8.75,0.79
03/01/2024 14:30,282,360,993,124,130,52,10.34,0.19
03/01/2024 15:00,664,834,592,414,177,95,9.72,0.82
03/01/2024 15:30,959,738,365,892,62,14,4.15,0.45
03/01/2024 16:00,507,462,952,854,1,176,8.75,1.24
03/01/2024 16:30,788,534,148,186,18,39,8.31,0.28
03/01/2024 17:00,216,28,787,943,138,25,11.95,1.90
03/01/2024 17:30,170,416,116,1010,96,16,4.73,0.49
03/01/2024 18:00,405,775,223,662,100,18,4.93,1.22
