Timestamp,LDR1,LDR2,LDR3,LDR4,Voltage,Current,Horizontal_Angle,Vertical_Angle
2023-01-01 08:00:00.000000000,354,850,509,629,10.32,0.15,129.0,12.0
2023-01-01 08:01:21.008100810,561,136,102,1002,11.92,0.05,28.0,34.0
2023-01-01 08:02:42.016201620,140,474,235,822,10.68,0.09,176.0,42.0
2023-01-01 08:04:03.024302430,219,285,421,489,10.36,0.16,22.0,43.0
2023-01-01 08:05:24.032403240,594,853,564,749,12.1,0.17,82.0,5.0
2023-01-01 08:06:45.040504050,346,730,813,686,11.09,0.06,46.0,88.0
2023-01-01 08:08:06.048604860,48,468,783,688,10.57,0.09,109.0,4.0
2023-01-01 08:09:27.056705670,79,907,649,343,12.42,0.08,67.0,18.0
2023-01-01 08:10:48.064806480,963,321,903,58,12.45,0.12,56.0,41.0
2023-01-01 08:12:09.072907290,400,656,194,193,11.16,0.17,159.0,21.0
2023-01-01 08:13:30.081008100,38,826,343,372,10.19,0.05,11.0,88.0
2023-01-01 08:14:51.089108910,805,267,754,737,11.73,0.18,70.0,20.0
2023-01-01 08:16:12.097209720,68,497,849,202,10.62,0.1,71.0,5.0
2023-01-01 08:17:33.105310531,502,995,447,767,10.15,0.14,25.0,28.0
2023-01-01 08:18:54.113411341,357,656,726,549,11.74,0.08,83.0,51.0
2023-01-01 08:20:15.121512151,444,705,975,527,10.63,0.17,139.0,87.0
2023-01-01 08:21:36.129612961,772,986,122,895,11.44,0.06,108.0,71.0
2023-01-01 08:22:57.137713771,734,830,121,545,11.58,0.17,165.0,15.0
2023-01-01 08:24:18.145814581,380,128,707,83,10.83,0.03,44.0,73.0
2023-01-01 08:25:39.153915391,633,492,418,8,11.91,0.08,14.0,6.0
2023-01-01 08:27:00.162016201,53,814,129,629,10.24,0.04,61.0,17.0
2023-01-01 08:28:21.170117011,808,100,281,60,12.11,0.12,150.0,33.0
2023-01-01 08:29:42.178217821,721,765,188,919,11.86,0.01,146.0,61.0
2023-01-01 08:31:03.186318631,462,653,570,563,11.84,0.19,98.0,30.0
2023-01-01 08:32:24.194419441,883,173,909,279,10.6,0.18,114.0,7.0
2023-01-01 08:33:45.202520252,240,891,20,468,10.28,0.17,160.0,43.0
2023-01-01 08:35:06.210621062,944,79,258,21,10.51,0.16,172.0,9.0
2023-01-01 08:36:27.218721872,725,539,508,868,11.87,0.08,51.0,23.0
2023-01-01 08:37:48.226822682,1002,885,452,172,10.09,0.13,149.0,28.0
2023-01-01 08:39:09.234923492,264,874,645,131,10.11,0.03,147.0,19.0
2023-01-01 08:40:30.243024302,930,549,220,473,11.43,0.06,141.0,0.0
2023-01-01 08:41:51.251125112,570,105,547,714,10.98,0.15,32.0,51.0
2023-01-01 08:43:12.259225922,1008,512,304,673,10.29,0.03,56.0,23.0
2023-01-01 08:44:33.267326732,671,924,356,522,10.27,0.15,5.0,72.0
2023-01-01 08:45:54.275427542,647,237,155,873,10.47,0.13,90.0,55.0
2023-01-01 08:47:15.283528352,498,985,53,515,10.76,0.07,79.0,84.0
2023-01-01 08:48:36.291629162,496,643,955,937,11.16,0.0,73.0,38.0
2023-01-01 08:49:57.299729972,798,795,300,1012,11.19,0.06,90.0,57.0
2023-01-01 08:51:18.307830783,900,288,689,811,10.47,0.16,59.0,11.0
2023-01-01 08:52:39.315931593,509,588,954,903,11.76,0.03,175.0,3.0
2023-01-01 08:54:00.324032403,663,185,869,812,10.45,0.03,164.0,42.0
2023-01-01 08:55:21.332133213,621,323,265,157,11.05,0.07,109.0,41.0
2023-01-01 08:56:42.340234023,264,942,900,1,10.93,0.08,108.0,78.0
2023-01-01 08:58:03.348334833,959,424,5,62,12.02,0.09,14.0,22.0
2023-01-01 08:59:24.356435643,782,514,628,681,10.66,0.03,127.0,62.0
2023-01-01 09:00:45.364536453,333,877,907,359,12.41,0.13,125.0,11.0
2023-01-01 09:02:06.372637263,630,939,525,919,10.61,0.1,59.0,50.0
2023-01-01 09:03:27.380738073,53,316,276,734,12.49,0.16,40.0,58.0
2023-01-01 09:04:48.388838883,63,438,392,156,10.27,0.14,43.0,15.0
2023-01-01 09:06:09.396939693,821,600,621,354,10.13,0.08,173.0,60.0
2023-01-01 09:07:30.405040504,193,767,974,164,11.25,0.12,100.0,11.0
2023-01-01 09:08:51.413141314,395,239,977,27,12.36,0.16,44.0,65.0
2023-01-01 09:10:12.421242124,566,101,607,1001,11.32,0.14,24.0,71.0
2023-01-01 09:11:33.429342934,995,564,469,614,11.1,0.02,163.0,66.0
2023-01-01 09:12:54.437443744,464,467,81,860,10.95,0.16,100.0,40.0
2023-01-01 09:14:15.445544554,563,145,403,609,10.19,0.08,15.0,19.0
2023-01-01 09:15:36.453645364,253,564,527,526,12.02,0.01,70.0,40.0
2023-01-01 09:16:57.461746174,158,599,775,809,10.04,0.09,38.0,57.0
2023-01-01 09:18:18.469846984,564,191,56,589,10.35,0.12,118.0,49.0
2023-01-01 09:19:39.477947794,108,615,49,254,11.21,0.06,70.0,74.0
2023-01-01 09:21:00.486048604,512,643,893,120,11.84,0.04,78.0,54.0
2023-01-01 09:22:21.494149414,443,99,782,282,10.67,0.02,39.0,59.0
2023-01-01 09:23:42.502250225,393,477,798,602,11.29,0.04,27.0,59.0
2023-01-01 09:25:03.510351035,782,1010,123,510,12.22,0.19,27.0,83.0
2023-01-01 09:26:24.518451845,340,495,337,67,11.9,0.2,84.0,89.0
